2023-12-12 09:40:30,068 | INFO | main - line_no 149 : Bot online 
2023-12-12 09:46:13,508 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:13,715 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:13,915 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:14,126 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:14,326 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:14,547 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:14,762 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:15,000 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:15,203 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:15,411 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:15,615 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:15,813 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:16,011 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:16,217 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:16,419 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:16,628 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:16,830 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:17,035 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:17,246 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:17,447 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:17,645 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:17,851 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:18,049 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:18,278 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:18,477 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:18,673 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:18,879 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:19,085 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:19,290 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:19,506 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:19,730 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:19,965 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending soompi data 
2023-12-12 09:46:19,966 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 09:46:51,243 | INFO | main - line_no 149 : Bot online 
2023-12-12 09:46:57,339 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 09:49:00,948 | INFO | main - line_no 150 : Bot online 
2023-12-12 09:49:10,083 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 09:50:50,078 | INFO | main - line_no 150 : Bot online 
2023-12-12 09:51:06,740 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 09:53:24,920 | INFO | main - line_no 151 : Bot online 
2023-12-12 09:53:30,208 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 09:54:11,345 | INFO | main - line_no 152 : Bot online 
2023-12-12 09:54:18,654 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 09:58:06,520 | INFO | main - line_no 152 : Bot online 
2023-12-12 10:00:25,154 | INFO | main - line_no 149 : Bot online 
2023-12-12 10:01:52,118 | INFO | main - line_no 150 : Bot online 
2023-12-12 10:02:45,868 | INFO | main - line_no 30 : Billboard updated successfully 
2023-12-12 10:02:48,041 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:48,291 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:48,498 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:48,700 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:48,917 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:49,159 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:49,369 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:49,592 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:49,812 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:50,018 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:50,244 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:50,445 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:50,739 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:50,977 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:51,208 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:51,528 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:51,782 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:51,989 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:52,191 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:52,406 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:52,629 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:52,841 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:53,049 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:53,263 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:53,476 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:53,702 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:53,905 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:54,119 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:54,386 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:54,617 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:54,820 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:55,032 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:55,236 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:55,446 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:55,651 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:55,859 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:56,063 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:56,271 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:56,480 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:56,707 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:56,917 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:57,134 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:57,342 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:57,565 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:57,776 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:57,983 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:58,195 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:58,405 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:58,615 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:58,826 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:02:58,827 | INFO | main - line_no 30 : Citizen updated successfully 
2023-12-12 10:03:04,043 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: message is too long' occured when sending animecorner data 
2023-12-12 10:03:22,908 | INFO | main - line_no 30 : Animecorner updated successfully 
2023-12-12 10:03:25,772 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 10:03:28,488 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:28,687 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:28,892 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:29,101 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:29,328 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:29,543 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:29,747 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:29,957 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:30,164 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:30,413 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:30,622 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:30,828 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:31,037 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:31,289 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:31,503 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:31,709 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:31,916 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:32,133 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:32,397 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:32,610 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending tmz data 
2023-12-12 10:03:32,611 | INFO | main - line_no 30 : Tmz updated successfully 
2023-12-12 10:03:58,300 | INFO | main - line_no 30 : Animesenpai updated successfully 
2023-12-12 10:05:32,807 | INFO | main - line_no 30 : Billboard updated successfully 
2023-12-12 10:05:35,027 | ERROR | main - line_no 29 : Error 'A request to the Telegram API was unsuccessful. Error code: 400. Description: Bad Request: chat not found' occured when sending citizen data 
2023-12-12 10:05:35,028 | INFO | main - line_no 30 : Citizen updated successfully 
2023-12-12 10:05:37,261 | INFO | main - line_no 30 : Animecorner updated successfully 
2023-12-12 10:05:40,205 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 10:05:42,107 | INFO | main - line_no 30 : Tmz updated successfully 
2023-12-12 10:05:44,593 | INFO | main - line_no 30 : Animesenpai updated successfully 
2023-12-12 10:09:45,728 | INFO | main - line_no 150 : Bot online 
2023-12-12 10:09:58,883 | INFO | main - line_no 30 : Billboard updated successfully 
2023-12-12 10:10:01,141 | INFO | main - line_no 30 : Citizen updated successfully 
2023-12-12 10:10:03,399 | INFO | main - line_no 30 : Animecorner updated successfully 
2023-12-12 10:10:05,834 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 10:10:07,556 | INFO | main - line_no 30 : Tmz updated successfully 
2023-12-12 10:10:10,042 | INFO | main - line_no 30 : Animesenpai updated successfully 
2023-12-12 10:10:45,534 | INFO | main - line_no 30 : Billboard updated successfully 
2023-12-12 10:10:50,152 | INFO | main - line_no 30 : Citizen updated successfully 
2023-12-12 10:10:51,653 | INFO | main - line_no 30 : Animecorner updated successfully 
2023-12-12 10:10:56,473 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 10:10:58,142 | INFO | main - line_no 30 : Tmz updated successfully 
2023-12-12 10:11:00,374 | INFO | main - line_no 30 : Animesenpai updated successfully 
2023-12-12 10:11:48,491 | INFO | main - line_no 30 : Billboard updated successfully 
2023-12-12 10:11:51,381 | INFO | main - line_no 30 : Citizen updated successfully 
2023-12-12 10:11:52,873 | INFO | main - line_no 30 : Animecorner updated successfully 
2023-12-12 10:11:54,952 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 10:11:57,044 | INFO | main - line_no 30 : Tmz updated successfully 
2023-12-12 10:11:59,290 | INFO | main - line_no 30 : Animesenpai updated successfully 
2023-12-12 10:12:19,203 | INFO | main - line_no 30 : Billboard updated successfully 
2023-12-12 10:12:23,549 | INFO | main - line_no 30 : Citizen updated successfully 
2023-12-12 10:12:25,089 | INFO | main - line_no 30 : Animecorner updated successfully 
2023-12-12 10:12:27,558 | INFO | main - line_no 30 : Soompi updated successfully 
2023-12-12 10:12:29,221 | INFO | main - line_no 30 : Tmz updated successfully 
2023-12-12 10:12:30,998 | INFO | main - line_no 30 : Animesenpai updated successfully 
2023-12-12 11:54:30,399 | INFO | main - line_no 159 : Bot online 
2023-12-12 11:56:26,850 | INFO | main - line_no 159 : Bot online 
2023-12-12 12:46:55,547 | INFO | main - line_no 160 : Bot online 
2023-12-12 12:47:34,047 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 12:48:09,467 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 12:48:11,873 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 12:48:22,002 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 12:48:38,584 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 12:48:41,511 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 12:50:13,197 | INFO | main - line_no 160 : Bot online 
2023-12-12 12:50:29,278 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 12:50:39,719 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 12:50:41,845 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 12:50:44,808 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 12:50:46,506 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 12:50:49,313 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 12:52:23,007 | INFO | main - line_no 160 : Bot online 
2023-12-12 12:53:20,901 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 12:53:30,404 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 12:53:32,064 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 12:53:34,636 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 12:53:36,897 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 12:53:44,248 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 12:56:33,118 | INFO | main - line_no 160 : Bot online 
2023-12-12 12:56:48,119 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 12:56:50,261 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 12:56:52,806 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 12:56:55,503 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 12:56:57,165 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 12:57:04,174 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 12:58:18,702 | INFO | main - line_no 160 : Bot online 
2023-12-12 12:58:33,104 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 12:58:39,526 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 12:58:41,784 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 12:58:47,658 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 12:58:49,948 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 12:58:52,430 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 12:59:30,759 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 12:59:37,646 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 12:59:39,339 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 12:59:41,927 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 12:59:43,433 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 12:59:45,475 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 13:07:39,056 | INFO | main - line_no 160 : Bot online 
2023-12-12 13:08:05,819 | INFO | main - line_no 31 : Billboard updated successfully 
2023-12-12 13:08:10,226 | INFO | main - line_no 31 : Citizen updated successfully 
2023-12-12 13:08:12,815 | INFO | main - line_no 31 : Animecorner updated successfully 
2023-12-12 13:08:15,879 | INFO | main - line_no 31 : Soompi updated successfully 
2023-12-12 13:08:18,267 | INFO | main - line_no 31 : Tmz updated successfully 
2023-12-12 13:08:20,792 | INFO | main - line_no 31 : Animesenpai updated successfully 
2023-12-12 13:31:28,160 | INFO | main - line_no 174 : Bot online 
2023-12-12 13:31:47,271 | INFO | main - line_no 38 : Billboard updated successfully 
2023-12-12 13:31:52,009 | INFO | main - line_no 38 : Citizen updated successfully 
2023-12-12 13:31:57,279 | INFO | main - line_no 38 : Animecorner updated successfully 
2023-12-12 13:32:00,144 | INFO | main - line_no 38 : Soompi updated successfully 
2023-12-12 13:32:02,329 | INFO | main - line_no 38 : Tmz updated successfully 
2023-12-12 13:32:04,927 | INFO | main - line_no 38 : Animesenpai updated successfully 
